experiment,run_id,epoch,layer,codebook_size,active_ratio,active_count,dead_count,perplexity,min_l2_dist,collapse_count,collapse_ratio,distance_reference_count,distance_stats_exact,source_log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,10,0,16384,0.9973000000000001,16340,44,5588.0,0.6147,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,10,1,256,1.0,256,0,204.1,2.1291,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,20,0,16384,0.9990000000000001,16367,17,5646.8,0.3992,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,20,1,256,1.0,256,0,210.1,1.9021,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,30,0,16384,0.9990000000000001,16368,16,5561.9,0.8774,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,30,1,256,1.0,256,0,209.2,1.7783,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,40,0,16384,0.9994,16374,10,5706.2,0.5732,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,40,1,256,1.0,256,0,213.3,1.7756,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,50,0,16384,0.9991,16370,14,5696.4,0.9511,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,50,1,256,1.0,256,0,218.1,1.6935,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,60,0,16384,0.9989,16366,18,5620.1,1.0152,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,60,1,256,1.0,256,0,218.3,1.6157,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,70,0,16384,0.9987,16362,22,5595.7,0.8493,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,70,1,256,1.0,256,0,216.2,1.6483,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,80,0,16384,0.9990000000000001,16368,16,5673.0,0.9688,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,80,1,256,1.0,256,0,212.7,1.5356,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,90,0,16384,0.9992,16371,13,5809.9,0.9142,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,90,1,256,1.0,256,0,219.7,1.5366,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,100,0,16384,0.9992,16371,13,5919.0,0.9914,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,100,1,256,1.0,256,0,218.4,1.5393,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,110,0,16384,0.9993000000000001,16372,12,6027.9,0.9789,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,110,1,256,1.0,256,0,224.7,1.5422,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,120,0,16384,0.9997,16379,5,6304.5,0.992,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,120,1,256,1.0,256,0,225.8,1.594,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,130,0,16384,0.9995,16375,9,5939.9,0.9949,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,130,1,256,1.0,256,0,224.5,1.6164,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,140,0,16384,0.9993000000000001,16372,12,5987.4,0.9549,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,140,1,256,1.0,256,0,222.3,1.617,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,150,0,16384,0.9994,16374,10,5996.5,0.9233,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,150,1,256,1.0,256,0,223.2,1.6178,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,160,0,16384,0.9994,16374,10,6001.4,0.9158,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,160,1,256,1.0,256,0,225.0,1.612,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,170,0,16384,0.9995999999999999,16378,6,6170.4,0.8924,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,170,1,256,1.0,256,0,226.1,1.6142,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,180,0,16384,0.9991,16370,14,5884.5,0.8468,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,180,1,256,1.0,256,0,225.1,1.5947,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,190,0,16384,0.9995999999999999,16378,6,6184.7,0.8187,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,190,1,256,1.0,256,0,228.4,1.6192,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,200,0,16384,0.9991,16370,14,5903.2,0.8486,0,0.0,4096,0,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb16384-256_unet2_ds8x2_k16384-256,exp6_larger_cb16384-256-20260601-182257,200,1,256,1.0,256,0,225.2,1.632,0,0.0,256,1,experiments/logs/train_exp6_larger_cb16384-256-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,10,0,4096,1.0,4096,0,1744.8,0.7782,0,0.0,4096,1,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,10,1,65536,0.7464,48914,16622,38902.2,0.0,44016,0.6716,4096,0,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,20,0,4096,1.0,4096,0,1762.7,0.9891,0,0.0,4096,1,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,20,1,65536,0.741,48564,16972,39056.7,0.0,42048,0.6416,4096,0,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,30,0,4096,1.0,4096,0,1694.0,0.7885,0,0.0,4096,1,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,30,1,65536,0.7263,47599,17937,38057.8,0.0,40320,0.6152000000000001,4096,0,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,40,0,4096,1.0,4096,0,1755.9,0.6765,0,0.0,4096,1,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,40,1,65536,0.7186,47094,18442,37559.8,0.0,38384,0.5857,4096,0,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,50,0,4096,1.0,4096,0,1874.1,1.0054,0,0.0,4096,1,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
quality_v2_B_larger_cb4096-65536_unet2_ds8x2_k4096-65536,exp5_larger_cb4096-65536-20260601-182257,50,1,65536,0.7195,47154,18382,37675.3,0.0,37264,0.5686,4096,0,experiments/logs/train_exp5_larger_cb4096-65536-20260601-182257.log
